#"plan_id","acc_no","assigned_telno","plan_type"
"plan_id_9","SA-2011-03-25-8481363","66346377","1"
"plan_id_8","SA-2011-03-25-8481363","","2"
"plan_id_7","SA-2011-03-25-8481363","91232121","0"
"plan_id_10","SA-2011-03-25-8481362","81102020","0"
"plan_id_11","SA-2011-03-25-8481362","","2"
"plan_id_12","SA-2011-03-25-8481361","","2"
"plan_id_3","SA-2011-03-25-8481366","66366366","1"
"plan_id_2","SA-2011-03-25-8481366","","2"
"plan_id_1","SA-2011-03-25-8481366","81102121","0"
"plan_id_6","SA-2011-03-25-8481364","66346366","1"
"plan_id_5","SA-2011-03-25-8481364","","2"
"plan_id_4","SA-2011-03-25-8481364","91102121","0"
